song,artist,emotion
Happy,Pharrell Williams,happy energetic positive
Someone Like You,Adele,sad heartbreak emotional
Perfect,Ed Sheeran,romantic love calm
Sunflower,Post Malone,happy chill positive
Let Her Go,Passenger,sad emotional deep
Weightless,Ambient,relax peaceful calm
Lovely,Billie Eilish,sad lonely emotional
Believer,Imagine Dragons,energetic motivation power
Shape of You,Ed Sheeran,happy love energetic
Blinding Lights,The Weeknd,happy upbeat energetic
Thinking Out Loud,Ed Sheeran,romantic love calm
All of Me,John Legend,romantic love emotional
Happier,Marshmello,sad heartbreak emotional
Shallow,Lady Gaga,romantic love emotional
Faded,Alan Walker,calm relaxing melancholic
Memories,Maroon 5,nostalgic emotional
Counting Stars,OneRepublic,energetic upbeat motivational
Thunder,Imagine Dragons,energetic powerful
Stay,Justin Bieber,emotional romantic
Senorita,Shawn Mendes,romantic upbeat flirty
Circles,Post Malone,happy chill relaxed
Lose Yourself,Eminem,energetic motivational power
Lovely Day,Bill Withers,happy positive relaxed
Someone You Loved,Lewis Capaldi,sad heartbreak emotional
Rolling in the Deep,Adele,sad heartbreak emotional
Don't Start Now,Dua Lipa,happy upbeat energetic
Bad Guy,Billie Eilish,edgy playful energetic
Can't Stop the Feeling,Justin Timberlake,happy positive energetic
Levitating,Dua Lipa,happy upbeat energetic
Mood,24kGoldn,upbeat playful fun
Watermelon Sugar,Harry Styles,happy upbeat positive
Happier Than Ever,Billie Eilish,emotional reflective calm
drivers license,Olivia Rodrigo,sad heartbreak emotional
Peaches,Justin Bieber,happy chill positive
Good 4 U,Olivia Rodrigo,energetic playful upbeat
Save Your Tears,The Weeknd,nostalgic reflective calm
Easy On Me,Adele,emotional calm reflective
As It Was,Harry Styles,happy upbeat reflective
Stay With Me,Sam Smith,romantic emotional calm
Senorita,Camila Cabello,romantic upbeat flirty
Old Town Road,Lil Nas X,playful fun upbeat
Industry Baby,Lil Nas X,energetic confident hype
Blinding Lights,The Weeknd,upbeat energetic party
Someone Like You,Adele,sad heartbreak emotional
Hello,Adele,emotional reflective calm
Perfect,Ed Sheeran,romantic love calm
Shape of You,Ed Sheeran,happy upbeat energetic
Photograph,Ed Sheeran,romantic emotional reflective
Hallelujah,Leonard Cohen,calm reflective emotional
Let It Be,The Beatles,calm inspirational positive
Imagine,John Lennon,calm reflective positive
Hey Jude,The Beatles,happy nostalgic positive
Smells Like Teen Spirit,Nirvana,energetic rebellious edgy
Wonderwall,Oasis,nostalgic reflective emotional
Bohemian Rhapsody,Queen,epic dramatic emotional
Stairway to Heaven,Led Zeppelin,epic emotional calm
Hotel California,Eagles,reflective nostalgic calm
Billie Jean,Michael Jackson,upbeat dance energetic
Thriller,Michael Jackson,energetic dance fun
Beat It,Michael Jackson,energetic confident power
Like a Rolling Stone,Bob Dylan,reflective rebellious emotional
I Will Always Love You,Whitney Houston,romantic emotional calm
My Heart Will Go On,Celine Dion,romantic emotional epic
Uptown Funk,Mark Ronson,happy upbeat party
Can't Feel My Face,The Weeknd,upbeat energetic fun
Sorry,Justin Bieber,playful fun upbeat
Sugar,Maroon 5,happy upbeat positive
Counting Stars,OneRepublic,energetic upbeat motivational
Roar,Katy Perry,energetic positive empowering
Firework,Katy Perry,energetic inspirational positive
Dark Horse,Katy Perry,edgy energetic mystical
Bad Romance,Lady Gaga,dramatic energetic bold
Poker Face,Lady Gaga,playful energetic fun
Just Dance,Lady Gaga,upbeat dance energetic
Born This Way,Lady Gaga,empowering positive energetic
Shake It Off,Taylor Swift,happy playful fun
Blank Space,Taylor Swift,dramatic playful emotional
Love Story,Taylor Swift,romantic love happy
You Belong With Me,Taylor Swift,romantic playful upbeat
Delicate,Taylor Swift,calm reflective romantic
All Too Well,Taylor Swift,sad heartbreak emotional
Anti-Hero,Taylor Swift,reflective playful edgy
The Archer,Taylor Swift,emotional reflective calm
Style,Taylor Swift,romantic upbeat playful
Willow,Taylor Swift,reflective romantic calm
Cardigan,Taylor Swift,calm nostalgic reflective
Exile,Taylor Swift,sad heartbreak reflective
Peace,Lizzo,happy empowering positive
Juice,Lizzo,upbeat playful fun
Truth Hurts,Lizzo,empowering confident edgy
Good as Hell,Lizzo,happy confident empowering
Cuz I Love You,Lizzo,emotional powerful passionate
Soulmate,Lizzo,romantic love calm
Tempo,Lizzo,upbeat energetic lively
Boys,Lizzo,playful upbeat fun
Like a Star,Lizzo,romantic calm reflective
Running with the Wolves,AURORA,energetic adventurous free
Queendom,AURORA,empowering confident positive
Conqueror,AURORA,empowering energetic bold
Apple Tree,AURORA,calm reflective positive
The Seed (2.0),AURORA,energetic political bold
Exist For Love,AURORA,romantic calm emotional
Animal,AURORA,energetic adventurous playful
Churchyard,AURORA,reflective calm emotional
Runaway,AURORA,emotional nostalgic calm
Awakening,AURORA,empowering positive energetic
A Different Kind of Human,AURORA,empowering bold energetic
